_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
100460,on stems,Gramineae,,,,100460,Denis & Schiff.,Pyralidae,Agriphila,inquinatella,,,British Isles
100461,on stems,Gramineae,Festuca,ovina,,100461,Denis & Schiff.,Pyralidae,Agriphila,inquinatella,,,British Isles
100467,on cereals,Detritophagous,,,,100467,Zeller,Pyralidae,Agriphila,ruricolellus,,,Nearctic
100089,,Juglandaceae,Carya,carolinae-septentrio,,100089,Grote,Pyralidae,Acrobasis,caryae,,,Nearctic
100469,on,Gramineae,Festuca,ovina,,100469,Hübner,Pyralidae,Agriphila,selasella,,,British Isles
100838,,Nyctaginaceae,Pisonia,aculeata,,100838,Guenée,Pyralidae,Asciodes,gordialis,,,Nearctic
100092,,Juglandaceae,Carya,glabra,,100092,Grote,Pyralidae,Acrobasis,caryae,,,Nearctic
100471,on,Gramineae,Spartina,maritima,,100471,Hübner,Pyralidae,Agriphila,selasella,,,British Isles
101856,,Platanaceae,Platanus,,,101856,Guenée,Pyralidae,Conchylodes,ovulalis,,,Nearctic
100100,on,Juglandaceae,Carya,porcina,,100100,Grote,Pyralidae,Acrobasis,caryae,,,Nearctic
100101,on leaves/stems/nuts,Juglandaceae,Carya,,,100101,Grote,Pyralidae,Acrobasis,caryae,,,Nearctic
100478,on stems,Gramineae,,,,100478,Denis & Schiff.,Pyralidae,Agriphila,tristella,,,British Isles
